Country,Date,Confirmed,Deaths,Recovered,Active,In ITU,Vaccines administered,New
Malta,09/03/2020,4,0,0,4,0,,1
Malta,10/03/2020,5,0,0,5,0,,1
Malta,11/03/2020,7,0,0,7,0,,2
Malta,12/03/2020,12,0,0,12,0,,5
Malta,13/03/2020,13,0,1,12,0,,1
Malta,14/03/2020,18,0,1,17,0,,5
Malta,15/03/2020,21,0,2,19,0,,3
Malta,16/03/2020,30,0,2,28,0,,9
Malta,17/03/2020,38,0,2,36,0,,8
Malta,18/03/2020,48,0,2,46,0,,10
Malta,19/03/2020,53,0,2,51,0,,5
Malta,20/03/2020,64,0,2,62,1,,11
Malta,21/03/2020,73,0,2,71,1,,9
Malta,22/03/2020,90,0,2,88,1,,17
Malta,23/03/2020,107,0,2,105,1,,17
Malta,24/03/2020,110,0,2,108,1,,3
Malta,25/03/2020,129,0,2,127,1,,19
Malta,26/03/2020,134,0,2,132,1,,5
Malta,27/03/2020,139,0,2,137,2,,5
Malta,28/03/2020,149,0,2,147,3,,10
Malta,29/03/2020,151,0,2,149,4,,2
Malta,30/03/2020,156,0,2,154,4,,5
Malta,31/03/2020,169,0,2,167,2,,13
Malta,01/04/2020,188,0,2,186,2,,19
